  xdata    ydata    zdata
    0.20    -0.08017042    -1.999038
  0.30    -0.080381826    -1.9978296
  0.40    -0.0806734359    -1.99612739
  0.50    -0.08103845258    -1.993921412
  0.60    -0.0814661713    -1.991200179
  0.70    -0.081941830435    -1.9879517877
  0.80    -0.0824473173628    -1.98416534313
  0.90    -0.0829626914717    -1.9798323269
  1.00    -0.08346820543709    -1.974947599479
  1.10    -0.083946296143787    -1.9695098153857
  1.20    -0.084383043491167    -1.9635212273771
  1.30    -0.0847688359851251    -1.95698703993362
  1.40    -0.0850982789890476    -1.94991455638071
  1.50    -0.08536958024293333    -1.942312338424318
  1.60    -0.08558369664586    -1.934189511827
  1.70    -0.08574346888655    -1.925555264742
  1.80    -0.08585287629863    -1.916418526616
  1.90    -0.08591646216148    -1.9067877890094
  2.00    -0.08593892724742    -1.8966710253499
  2.10    -0.0859248644212881    -1.88607567322096
  2.20    -0.0858786002688135    -1.8750086524433
  2.30    -0.0858041123225123    -1.8634764011567
  2.40    -0.08570499660976962    -1.851484918919699
  2.50    -0.08558446681705328    -1.839039810552786
  2.60    -0.085445372001239018    -1.826146327456706
  2.70    -0.085290224122379601    -1.812809404950678
  2.80    -0.085121229806637697    -1.799033695205022
  2.90    -0.0849403229100512724    -1.78482359588722651
  3.00    -0.0847491958939313465    -1.77018327489765882
  3.10    -0.084549328953326437    -1.75511669166603938
  3.20    -0.08434201642334810852    -1.739627615488133732
  3.30    -0.08412839034105731703    -1.723719641348152175
  3.40    -0.08390944124403184218    -1.707396203620976891
  3.50    -0.08368603639530705702    -1.690660587992941704
  3.60    -0.083458935674223522269    -1.6735159418871515025
  3.70    -0.083228805387292988693    -1.6559652836321798888
  3.80    -0.082996230247510654742    -1.6380115105723352256
  3.90    -0.0827617237540192733885    -1.61965740628340538115
  4.00    -0.0825257371824664874058    -1.60090564702929009642
  4.10    -0.0822886673732571922943    -1.58175880757143540867
  4.20    -0.0820508634821768875    -1.56221936642372096
  4.30    -0.0818126328366156    -1.5422897106297
  4.40    -0.08157424602135517    -1.521972140126197
  4.50    -0.08133594130075639    -1.501268871746851
  4.60    -0.08109792846916747    -1.480182042910397
  4.70    -0.080860392208331537    -1.4587137150316511
  4.80    -0.080623495019318685    -1.4368658766871962
  4.90    -0.0803873797868427306    -1.41464044656306422
  5.00    -0.08015217202554788199    -1.392039276207722345
  5.20    -0.0796849057103246265    -1.34571680062206141
  5.40    -0.0792224219491500569    -1.29791201372700095
  5.60    -0.0787652725500050528    -1.24863755500869737
  5.80    -0.0783138712948411878    -1.1979052030755225
